user_id,item_id,timestamp,label,cluster_id,pca_x,pca_y,total_event_count,behavior_density,user_frequency,item_frequency
user_3059,1548,1770565208,0.0,2,-3.2986487842832193,-3.040899488256917,1250.0,0.08207817413490198,1.0,1.0
user_3646,2537,1770691713,0.0,1,-1.6938948749745688,0.12671848668397337,670.0,0.04422271888646167,1.0,1.0
user_2282,3244,1770698286,0.0,0,1.1575010482722679,0.017226609938514506,5520.0,0.3205456657643308,1.0,1.0
user_1510,2939,1770692106,0.0,0,1.2438171542146674,0.4756931988903455,4999.0,0.3182673905538478,1.0,1.0
user_3246,4054,1770698383,0.0,0,0.7061338172594686,0.02854313702381117,4693.0,0.3090539256185194,1.0,1.0
user_2123,1916,1770437754,0.0,0,0.7772964185207866,0.10818649712130626,4509.0,0.26667431140473624,1.0,2.0
user_4056,1785,1770694639,0.0,0,1.0217452662998374,-0.40373980578225205,5847.0,0.40550229542286675,1.0,1.0
user_3817,1067,1770697173,0.0,0,1.2274258743616584,0.8034449617232273,3769.0,0.24645561572017882,1.0,1.0
user_4540,3303,1770692941,0.0,0,0.6977251537958379,0.36676496079460874,2727.0,0.16871710689242345,1.0,1.0
user_4798,2736,1770695801,0.0,0,0.9883361240160026,-0.8939814720830298,6077.0,0.3962887051578305,1.0,1.0
user_2201,1836,1770700166,0.0,1,-2.904247177039324,-1.8833322535388253,1239.0,0.08075825125035514,1.0,1.0
user_2129,3613,1770693579,0.0,0,1.5768813056956226,0.6655004612560993,4254.0,0.2822415297039748,1.0,1.0
user_2487,1428,1770699730,0.0,0,1.1197905960497552,0.6793231231755111,3843.0,0.25097626370597836,1.0,1.0
user_1825,1266,1770697128,0.0,0,1.0360318739298398,0.5826274879415052,4245.0,0.24582597325940386,1.0,1.0
user_4594,3942,1770693751,0.0,0,1.0446014529104366,-0.8731249097781575,6416.0,0.421537497137901,1.0,1.0
user_1553,518,1770437712,0.0,0,0.3762121162302596,0.5572802513727977,3021.0,0.17892410701601605,1.0,1.0
user_326,3391,1770694159,0.0,0,0.269275229474036,0.6472221409121638,3251.0,0.21334139479292127,1.0,1.0
user_1579,1448,1770696737,0.0,1,-1.6343755564358438,-0.4833509152950526,1424.0,0.08257846621517198,1.0,2.0
user_2158,3367,1770700704,0.0,0,0.9031361309290767,0.4786788817968297,4926.0,0.33458172576935674,1.0,1.0
user_4622,1557,1770696689,0.0,0,0.04342684793142919,1.4560446554022548,2173.0,0.14629903992797932,1.0,1.0
user_3248,2388,1770693468,0.0,1,-3.4580110780535307,-1.698282105622483,299.0,0.019586766180685954,1.0,1.0
user_2292,400,1770696619,0.0,0,0.4697960939069248,0.7502525846622491,2594.0,0.17179999738392449,1.0,1.0
user_2451,1412,1770697210,0.0,0,0.5288553242685418,0.4475329918611071,4078.0,0.26610104545910984,1.0,2.0
user_3236,2353,1770690060,0.0,0,0.4916876319182031,0.8711173599367509,2575.0,0.16973598894412645,1.0,1.0
user_3506,59,1770691122,0.0,0,0.6161037379740087,0.18214179777834238,2814.0,0.18380682284670327,1.0,1.0
user_2095,606,1770694673,0.0,0,0.04454703727746485,-1.5417923125696942,3625.0,0.21349108574106287,1.0,1.0
user_210,1915,1770438809,0.0,0,-0.02966990925094216,0.39175232122458903,3322.0,0.21908132141033546,1.0,3.0
user_1684,2859,1770692442,0.0,1,-0.18997355354168224,-1.6069435499828577,3937.0,0.2589344980233801,1.0,1.0
user_1749,501,1770655225,0.0,2,-0.7236265335261873,-1.0553534274793945,2857.0,0.1866662998144771,1.0,1.0
